group,filter,week,unique_users,new_users,cumulative_users
VPN,Unmatched (non-UK),2023-07-25,2001,764,95721
VPN,Unmatched (non-UK),2023-08-01,1951,783,96504
VPN,Unmatched (non-UK),2023-08-08,2142,848,97352
VPN,Unmatched (non-UK),2023-08-15,2194,919,98271
VPN,Unmatched (non-UK),2023-08-22,2184,861,99132
VPN,Unmatched (non-UK),2023-08-29,2245,935,100067
VPN,Unmatched (non-UK),2023-09-05,2385,926,100993
VPN,Unmatched (non-UK),2023-09-12,2140,824,101817
VPN,Unmatched (non-UK),2023-09-19,2219,841,102658
VPN,Unmatched (non-UK),2023-09-26,2092,799,103457
VPN,Unmatched (non-UK),2023-10-03,1314,495,103952
VPN,Unmatched (non-UK),2023-10-10,1320,549,104501
VPN,Unmatched (non-UK),2023-10-17,1455,565,105066
VPN,Unmatched (non-UK),2023-10-24,1379,538,105604
VPN,Unmatched (non-UK),2023-10-31,2144,861,106465
VPN,Unmatched (non-UK),2023-11-07,2280,858,107323
VPN,Unmatched (non-UK),2023-11-14,2347,865,108188
VPN,Unmatched (non-UK),2023-11-21,2471,955,109143
VPN,Unmatched (non-UK),2023-11-28,2468,910,110053
VPN,Unmatched (non-UK),2023-12-05,2572,859,110912
VPN,Unmatched (non-UK),2023-12-12,2406,855,111767
VPN,Unmatched (non-UK),2023-12-19,2493,907,112674
VPN,Unmatched (non-UK),2023-12-26,2455,920,113594
VPN,Unmatched (non-UK),2024-01-02,2729,1064,114658
VPN,Unmatched (non-UK),2024-01-09,2619,992,115650
VPN,Unmatched (non-UK),2024-01-16,2655,1013,116663
VPN,Unmatched (non-UK),2024-01-23,2879,1143,117806
VPN,Unmatched (non-UK),2024-01-30,3015,1151,118957
VPN,Unmatched (non-UK),2024-02-06,3009,1260,120217
VPN,Unmatched (non-UK),2024-02-13,2968,1145,121362
VPN,Unmatched (non-UK),2024-02-20,3078,1145,122507
VPN,Unmatched (non-UK),2024-02-27,2992,1148,123655
VPN,Unmatched (non-UK),2024-03-05,2848,1081,124736
VPN,Unmatched (non-UK),2024-03-12,2951,1203,125939
VPN,Unmatched (non-UK),2024-03-19,2764,1079,127018
VPN,Unmatched (non-UK),2024-03-26,2871,1094,128112
VPN,Unmatched (non-UK),2024-04-02,2914,1093,129205
VPN,Unmatched (non-UK),2024-04-09,3208,1230,130435
VPN,Unmatched (non-UK),2024-04-16,3331,1309,131744
VPN,Unmatched (non-UK),2024-04-23,3134,1176,132920
VPN,Unmatched (non-UK),2024-04-30,2795,981,133901
VPN,Unmatched (non-UK),2024-05-07,2640,977,134878
VPN,Unmatched (non-UK),2024-05-14,2653,951,135829
VPN,Unmatched (non-UK),2024-05-21,3435,1441,137270
VPN,Unmatched (non-UK),2024-05-28,2941,1179,138449
VPN,Unmatched (non-UK),2024-06-04,2915,1074,139523
VPN,Unmatched (non-UK),2024-06-11,3196,1208,140731
VPN,Unmatched (non-UK),2024-06-18,2893,1065,141796
VPN,Unmatched (non-UK),2024-06-25,3042,1094,142890
VPN,Unmatched (non-UK),2024-07-02,3181,1195,144085
VPN,Unmatched (non-UK),2024-07-09,2930,1053,145138
VPN,Unmatched (non-UK),2024-07-16,3151,1228,146366
VPN,Unmatched (non-UK),2024-07-23,3260,1172,147538
VPN,Unmatched (non-UK),2024-07-30,3590,1383,148921
VPN,Unmatched (non-UK),2024-08-06,3612,1387,150308
VPN,Unmatched (non-UK),2024-08-13,3311,1281,151589
VPN,Unmatched (non-UK),2024-08-20,3341,1182,152771
VPN,Unmatched (non-UK),2024-08-27,3434,1274,154045
VPN,Unmatched (non-UK),2024-09-03,3583,1303,155348
VPN,Unmatched (non-UK),2024-09-10,3465,1283,156631
VPN,Unmatched (non-UK),2024-09-17,3664,1414,158045
VPN,Unmatched (non-UK),2024-09-24,3842,1384,159429
VPN,Unmatched (non-UK),2024-10-01,3643,1266,160695
VPN,Unmatched (non-UK),2024-10-08,3384,1213,161908
VPN,Unmatched (non-UK),2024-10-15,3220,1154,163062
VPN,Unmatched (non-UK),2024-10-22,3112,1166,164228
VPN,Unmatched (non-UK),2024-10-29,2997,1047,165275
VPN,Unmatched (non-UK),2024-11-05,3084,1102,166377
VPN,Unmatched (non-UK),2024-11-12,2960,1182,167559
VPN,Unmatched (non-UK),2024-11-19,2903,1069,168628
VPN,Unmatched (non-UK),2024-11-26,2646,973,169601
VPN,Unmatched (non-UK),2024-12-03,2944,1039,170640
VPN,Unmatched (non-UK),2024-12-10,2861,1026,171666
VPN,Unmatched (non-UK),2024-12-17,3044,1110,172776
VPN,Unmatched (non-UK),2024-12-24,2772,958,173734
VPN,Unmatched (non-UK),2024-12-31,3757,1539,175273
VPN,Unmatched (non-UK),2025-01-07,3171,1168,176441
VPN,Unmatched (non-UK),2025-01-14,4746,2066,178507
VPN,Unmatched (non-UK),2025-01-21,3708,1432,179939
VPN,Unmatched (non-UK),2025-01-28,4241,1625,181564
VPN,Unmatched (non-UK),2025-02-04,4023,1489,183053
VPN,Unmatched (non-UK),2025-02-11,4853,2102,185155
VPN,Unmatched (non-UK),2025-02-18,4744,1921,187076
VPN,Unmatched (non-UK),2025-02-25,4646,1862,188938
VPN,Unmatched (non-UK),2025-03-04,3736,1358,190296
VPN,Unmatched (non-UK),2025-03-11,3625,1298,191594
VPN,Unmatched (non-UK),2025-03-18,3038,1021,192615
VPN,Unmatched (non-UK),2025-03-25,3314,1091,193706
VPN,Unmatched (non-UK),2025-04-01,2875,1008,194714
VPN,Unmatched (non-UK),2025-04-08,2791,933,195647
VPN,Unmatched (non-UK),2025-04-15,3174,1103,196750
VPN,Unmatched (non-UK),2025-04-22,3459,1168,197918
VPN,Unmatched (non-UK),2025-04-29,2938,1010,198928
VPN,Unmatched (non-UK),2025-05-06,2879,998,199926
VPN,Unmatched (non-UK),2025-05-13,3060,929,200855
VPN,Unmatched (non-UK),2025-05-20,2860,1026,201881
VPN,Unmatched (non-UK),2025-05-27,2958,964,202845
