group,definition,k,week,posts,comments,total
Politics,Classified,5,2024-01-15,2,31,33
Politics,Classified,1,2024-01-22,8,101,109
Politics,Classified,2,2024-01-22,4,80,84
Politics,Classified,3,2024-01-22,3,69,72
Politics,Classified,4,2024-01-22,2,55,57
Politics,Classified,5,2024-01-22,1,40,41
Politics,Classified,1,2024-01-29,6,119,125
Politics,Classified,2,2024-01-29,4,97,101
Politics,Classified,3,2024-01-29,3,70,73
Politics,Classified,4,2024-01-29,2,53,55
Politics,Classified,5,2024-01-29,2,40,42
Politics,Classified,1,2024-02-05,9,202,211
Politics,Classified,2,2024-02-05,6,150,156
Politics,Classified,3,2024-02-05,6,109,115
Politics,Classified,4,2024-02-05,3,84,87
Politics,Classified,5,2024-02-05,3,56,59
Politics,Classified,1,2024-02-12,4,122,126
Politics,Classified,2,2024-02-12,4,104,108
Politics,Classified,3,2024-02-12,2,81,83
Politics,Classified,4,2024-02-12,2,66,68
Politics,Classified,5,2024-02-12,1,52,53
Politics,Classified,1,2024-02-19,12,115,127
Politics,Classified,2,2024-02-19,7,84,91
Politics,Classified,3,2024-02-19,5,59,64
Politics,Classified,4,2024-02-19,5,44,49
Politics,Classified,5,2024-02-19,4,36,40
Politics,Classified,1,2024-02-26,8,98,106
Politics,Classified,2,2024-02-26,6,73,79
Politics,Classified,3,2024-02-26,4,53,57
Politics,Classified,4,2024-02-26,3,41,44
Politics,Classified,5,2024-02-26,3,30,33
Politics,Classified,1,2024-03-04,7,94,101
Politics,Classified,2,2024-03-04,5,72,77
Politics,Classified,3,2024-03-04,3,58,61
Politics,Classified,4,2024-03-04,0,40,40
Politics,Classified,5,2024-03-04,0,35,35
Politics,Classified,1,2024-03-11,3,48,51
Politics,Classified,2,2024-03-11,2,36,38
Politics,Classified,3,2024-03-11,2,29,31
Politics,Classified,4,2024-03-11,1,23,24
Politics,Classified,5,2024-03-11,1,21,22
Politics,Classified,1,2024-03-18,10,120,130
Politics,Classified,2,2024-03-18,6,100,106
Politics,Classified,3,2024-03-18,4,78,82
Politics,Classified,4,2024-03-18,1,58,59
Politics,Classified,5,2024-03-18,1,43,44
Politics,Classified,1,2024-03-25,0,85,85
Politics,Classified,2,2024-03-25,0,70,70
Politics,Classified,3,2024-03-25,0,58,58
Politics,Classified,4,2024-03-25,0,44,44
Politics,Classified,5,2024-03-25,0,35,35
Politics,Classified,1,2024-04-01,4,111,115
Politics,Classified,2,2024-04-01,2,84,86
Politics,Classified,3,2024-04-01,0,65,65
Politics,Classified,4,2024-04-01,0,50,50
Politics,Classified,5,2024-04-01,0,40,40
Politics,Classified,1,2024-04-08,6,95,101
Politics,Classified,2,2024-04-08,5,73,78
Politics,Classified,3,2024-04-08,2,61,63
Politics,Classified,4,2024-04-08,1,50,51
Politics,Classified,5,2024-04-08,0,36,36
Politics,Classified,1,2024-04-15,8,153,161
Politics,Classified,2,2024-04-15,2,129,131
Politics,Classified,3,2024-04-15,2,101,103
Politics,Classified,4,2024-04-15,1,74,75
Politics,Classified,5,2024-04-15,0,52,52
Politics,Classified,1,2024-04-22,8,80,88
Politics,Classified,2,2024-04-22,8,67,75
Politics,Classified,3,2024-04-22,4,50,54
Politics,Classified,4,2024-04-22,2,40,42
Politics,Classified,5,2024-04-22,1,29,30
Politics,Classified,1,2024-04-29,2,87,89
Politics,Classified,2,2024-04-29,2,65,67
Politics,Classified,3,2024-04-29,2,45,47
Politics,Classified,4,2024-04-29,2,31,33
Politics,Classified,5,2024-04-29,2,16,18
Politics,Classified,1,2024-05-06,4,93,97
Politics,Classified,2,2024-05-06,4,69,73
Politics,Classified,3,2024-05-06,2,49,51
Politics,Classified,4,2024-05-06,2,41,43
Politics,Classified,5,2024-05-06,2,29,31
Politics,Classified,1,2024-05-13,3,75,78
Politics,Classified,2,2024-05-13,3,60,63
Politics,Classified,3,2024-05-13,2,44,46
Politics,Classified,4,2024-05-13,2,32,34
Politics,Classified,5,2024-05-13,2,25,27
Politics,Classified,1,2024-05-20,14,113,127
Politics,Classified,2,2024-05-20,11,84,95
Politics,Classified,3,2024-05-20,7,61,68
Politics,Classified,4,2024-05-20,3,46,49
Politics,Classified,5,2024-05-20,3,31,34
Politics,Classified,1,2024-05-27,3,78,81
Politics,Classified,2,2024-05-27,3,59,62
Politics,Classified,3,2024-05-27,2,46,48
Politics,Classified,4,2024-05-27,1,35,36
Politics,Classified,5,2024-05-27,0,25,25
Politics,Classified,1,2024-06-03,4,89,93
Politics,Classified,2,2024-06-03,3,71,74
Politics,Classified,3,2024-06-03,3,55,58
Politics,Classified,4,2024-06-03,3,36,39
Politics,Classified,5,2024-06-03,3,26,29
Politics,Classified,1,2024-06-10,5,59,64
Politics,Classified,2,2024-06-10,4,44,48
Politics,Classified,3,2024-06-10,4,38,42
Politics,Classified,4,2024-06-10,2,30,32
Politics,Classified,5,2024-06-10,2,22,24
Politics,Classified,1,2024-06-17,3,83,86
Politics,Classified,2,2024-06-17,3,60,63
Politics,Classified,3,2024-06-17,2,50,52
Politics,Classified,4,2024-06-17,2,36,38
Politics,Classified,5,2024-06-17,1,30,31
Politics,Classified,1,2024-06-24,4,79,83
Politics,Classified,2,2024-06-24,3,58,61
Politics,Classified,3,2024-06-24,2,44,46
Politics,Classified,4,2024-06-24,2,26,28
Politics,Classified,5,2024-06-24,2,22,24
Politics,Classified,1,2024-07-01,5,141,146
Politics,Classified,2,2024-07-01,2,95,97
Politics,Classified,3,2024-07-01,1,73,74
Politics,Classified,4,2024-07-01,1,47,48
Politics,Classified,5,2024-07-01,1,37,38
Politics,Classified,1,2024-07-08,2,96,98
Politics,Classified,2,2024-07-08,0,79,79
Politics,Classified,3,2024-07-08,0,60,60
Politics,Classified,4,2024-07-08,0,41,41
Politics,Classified,5,2024-07-08,0,28,28
Politics,Classified,1,2024-07-15,4,78,82
Politics,Classified,2,2024-07-15,4,59,63
Politics,Classified,3,2024-07-15,1,48,49
Politics,Classified,4,2024-07-15,1,38,39
Politics,Classified,5,2024-07-15,1,29,30
Politics,Classified,1,2024-07-22,5,69,74
Politics,Classified,2,2024-07-22,4,49,53
Politics,Classified,3,2024-07-22,2,33,35
Politics,Classified,4,2024-07-22,2,22,24
Politics,Classified,5,2024-07-22,1,16,17
Politics,Classified,1,2024-07-29,6,142,148
Politics,Classified,2,2024-07-29,5,100,105
Politics,Classified,3,2024-07-29,3,78,81
Politics,Classified,4,2024-07-29,1,60,61
Politics,Classified,5,2024-07-29,1,48,49
Politics,Classified,1,2024-08-05,15,232,247
Politics,Classified,2,2024-08-05,14,158,172
Politics,Classified,3,2024-08-05,7,123,130
Politics,Classified,4,2024-08-05,6,92,98
Politics,Classified,5,2024-08-05,6,75,81
Politics,Classified,1,2024-08-12,7,96,103
Politics,Classified,2,2024-08-12,4,82,86
Politics,Classified,3,2024-08-12,3,66,69
Politics,Classified,4,2024-08-12,2,51,53
Politics,Classified,5,2024-08-12,1,48,49
Politics,Classified,1,2024-08-19,5,72,77
Politics,Classified,2,2024-08-19,4,60,64
Politics,Classified,3,2024-08-19,1,46,47
Politics,Classified,4,2024-08-19,0,30,30
Politics,Classified,5,2024-08-19,0,23,23
Politics,Classified,1,2024-08-26,4,95,99
Politics,Classified,2,2024-08-26,4,71,75
Politics,Classified,3,2024-08-26,3,55,58
Politics,Classified,4,2024-08-26,3,41,44
Politics,Classified,5,2024-08-26,2,31,33
Politics,Classified,1,2024-09-02,2,76,78
Politics,Classified,2,2024-09-02,2,57,59
Politics,Classified,3,2024-09-02,2,42,44
Politics,Classified,4,2024-09-02,2,38,40
Politics,Classified,5,2024-09-02,1,23,24
Politics,Classified,1,2024-09-09,4,65,69
Politics,Classified,2,2024-09-09,3,51,54
Politics,Classified,3,2024-09-09,2,39,41
Politics,Classified,4,2024-09-09,1,25,26
Politics,Classified,5,2024-09-09,1,22,23
Politics,Classified,1,2024-09-16,2,80,82
Politics,Classified,2,2024-09-16,0,67,67
Politics,Classified,3,2024-09-16,0,43,43
Politics,Classified,4,2024-09-16,0,33,33
Politics,Classified,5,2024-09-16,0,25,25
Politics,Classified,1,2024-09-23,3,46,49
Politics,Classified,2,2024-09-23,3,37,40
Politics,Classified,3,2024-09-23,1,23,24
Politics,Classified,4,2024-09-23,0,14,14
Politics,Classified,5,2024-09-23,0,12,12
Politics,Classified,1,2024-09-30,3,67,70
Politics,Classified,2,2024-09-30,2,54,56
Politics,Classified,3,2024-09-30,2,36,38
Politics,Classified,4,2024-09-30,1,24,25
Politics,Classified,5,2024-09-30,1,18,19
Politics,Classified,1,2024-10-07,0,52,52
Politics,Classified,2,2024-10-07,0,42,42
Politics,Classified,3,2024-10-07,0,33,33
Politics,Classified,4,2024-10-07,0,26,26
Politics,Classified,5,2024-10-07,0,20,20
Politics,Classified,1,2024-10-14,4,137,141
Politics,Classified,2,2024-10-14,3,102,105
Politics,Classified,3,2024-10-14,2,79,81
Politics,Classified,4,2024-10-14,1,57,58
Politics,Classified,5,2024-10-14,1,34,35
Politics,Classified,1,2024-10-21,4,69,73
Politics,Classified,2,2024-10-21,3,48,51
Politics,Classified,3,2024-10-21,1,32,33
Politics,Classified,4,2024-10-21,0,24,24
Politics,Classified,5,2024-10-21,0,21,21
Politics,Classified,1,2024-10-28,5,56,61
Politics,Classified,2,2024-10-28,4,45,49
Politics,Classified,3,2024-10-28,2,33,35
Politics,Classified,4,2024-10-28,0,24,24
Politics,Classified,5,2024-10-28,0,12,12
Politics,Classified,1,2024-11-04,1,56,57
Politics,Classified,2,2024-11-04,0,47,47
Politics,Classified,3,2024-11-04,0,39,39
Politics,Classified,4,2024-11-04,0,27,27
Politics,Classified,5,2024-11-04,0,20,20
Politics,Classified,1,2024-11-11,3,142,145
Politics,Classified,2,2024-11-11,3,117,120
Politics,Classified,3,2024-11-11,1,77,78
Politics,Classified,4,2024-11-11,1,53,54
Politics,Classified,5,2024-11-11,1,41,42
Politics,Classified,1,2024-11-18,2,125,127
Politics,Classified,2,2024-11-18,1,94,95
Politics,Classified,3,2024-11-18,0,75,75
Politics,Classified,4,2024-11-18,0,51,51
Politics,Classified,5,2024-11-18,0,39,39
Politics,Classified,1,2024-11-25,10,274,284
Politics,Classified,2,2024-11-25,7,198,205
Politics,Classified,3,2024-11-25,3,155,158
Politics,Classified,4,2024-11-25,3,110,113
Politics,Classified,5,2024-11-25,1,79,80
Politics,Classified,1,2024-12-02,3,62,65
Politics,Classified,2,2024-12-02,3,47,50
Politics,Classified,3,2024-12-02,3,29,32
Politics,Classified,4,2024-12-02,2,23,25
Politics,Classified,5,2024-12-02,0,17,17
Politics,Classified,1,2024-12-09,5,126,131
Politics,Classified,2,2024-12-09,4,99,103
Politics,Classified,3,2024-12-09,3,81,84
Politics,Classified,4,2024-12-09,3,55,58
Politics,Classified,5,2024-12-09,2,41,43
Politics,Classified,1,2024-12-16,10,199,209
Politics,Classified,2,2024-12-16,7,153,160
Politics,Classified,3,2024-12-16,5,115,120
Politics,Classified,4,2024-12-16,3,85,88
Politics,Classified,5,2024-12-16,2,55,57
Politics,Classified,1,2024-12-23,5,93,98
Politics,Classified,2,2024-12-23,5,66,71
Politics,Classified,3,2024-12-23,4,51,55
Politics,Classified,4,2024-12-23,3,38,41
Politics,Classified,5,2024-12-23,3,29,32
Politics,Classified,1,2024-12-30,3,97,100
Politics,Classified,2,2024-12-30,2,69,71
Politics,Classified,3,2024-12-30,1,62,63
Politics,Classified,4,2024-12-30,1,41,42
Politics,Classified,5,2024-12-30,0,36,36
Politics,Classified,1,2025-01-06,4,190,194
Politics,Classified,2,2025-01-06,3,149,152
Politics,Classified,3,2025-01-06,2,128,130
Politics,Classified,4,2025-01-06,1,96,97
Politics,Classified,5,2025-01-06,0,76,76
Politics,Classified,1,2025-01-13,10,606,616
Politics,Classified,2,2025-01-13,6,513,519
Politics,Classified,3,2025-01-13,3,421,424
Politics,Classified,4,2025-01-13,3,310,313
Politics,Classified,5,2025-01-13,2,238,240
Politics,Classified,1,2025-01-20,4,186,190
Politics,Classified,2,2025-01-20,1,145,146
Politics,Classified,3,2025-01-20,1,109,110
Politics,Classified,4,2025-01-20,1,86,87
Politics,Classified,5,2025-01-20,1,62,63
Politics,Classified,1,2025-01-27,2,141,143
Politics,Classified,2,2025-01-27,2,116,118
Politics,Classified,3,2025-01-27,1,99,100
Politics,Classified,4,2025-01-27,1,79,80
Politics,Classified,5,2025-01-27,1,65,66
Politics,Classified,1,2025-02-03,4,267,271
Politics,Classified,2,2025-02-03,2,211,213
Politics,Classified,3,2025-02-03,1,170,171
Politics,Classified,4,2025-02-03,0,118,118
Politics,Classified,5,2025-02-03,0,86,86
Politics,Classified,1,2025-02-10,1,159,160
Politics,Classified,2,2025-02-10,0,130,130
Politics,Classified,3,2025-02-10,0,94,94
Politics,Classified,4,2025-02-10,0,67,67
Politics,Classified,5,2025-02-10,0,43,43
Politics,Classified,1,2025-02-17,8,393,401
Politics,Classified,2,2025-02-17,5,313,318
Politics,Classified,3,2025-02-17,5,247,252
Politics,Classified,4,2025-02-17,4,185,189
Politics,Classified,5,2025-02-17,2,130,132
Politics,Classified,1,2025-02-24,10,154,164
Politics,Classified,2,2025-02-24,6,118,124
Politics,Classified,3,2025-02-24,5,92,97
Politics,Classified,4,2025-02-24,3,64,67
Politics,Classified,5,2025-02-24,3,44,47
Politics,Classified,1,2025-03-03,5,129,134
Politics,Classified,2,2025-03-03,3,100,103
Politics,Classified,3,2025-03-03,3,79,82
Politics,Classified,4,2025-03-03,1,57,58
Politics,Classified,5,2025-03-03,1,39,40
Politics,Classified,1,2025-03-10,3,145,148
Politics,Classified,2,2025-03-10,3,108,111
Politics,Classified,3,2025-03-10,2,95,97
Politics,Classified,4,2025-03-10,2,69,71
Politics,Classified,5,2025-03-10,2,54,56
Politics,Classified,1,2025-03-17,11,193,204
Politics,Classified,2,2025-03-17,5,151,156
Politics,Classified,3,2025-03-17,5,116,121
Politics,Classified,4,2025-03-17,4,93,97
Politics,Classified,5,2025-03-17,3,67,70
Politics,Classified,1,2025-03-24,10,116,126
Politics,Classified,2,2025-03-24,8,86,94
Politics,Classified,3,2025-03-24,7,56,63
Politics,Classified,4,2025-03-24,5,39,44
Politics,Classified,5,2025-03-24,3,26,29
Politics,Classified,1,2025-03-31,10,115,125
Politics,Classified,2,2025-03-31,5,75,80
Politics,Classified,3,2025-03-31,5,54,59
Politics,Classified,4,2025-03-31,5,32,37
Politics,Classified,5,2025-03-31,4,21,25
Politics,Classified,1,2025-04-07,7,215,222
Politics,Classified,2,2025-04-07,5,167,172
Politics,Classified,3,2025-04-07,3,120,123
Politics,Classified,4,2025-04-07,2,102,104
Politics,Classified,5,2025-04-07,0,77,77
Politics,Classified,1,2025-04-14,6,129,135
Politics,Classified,2,2025-04-14,3,97,100
Politics,Classified,3,2025-04-14,1,75,76
Politics,Classified,4,2025-04-14,0,47,47
Politics,Classified,5,2025-04-14,0,36,36
Politics,Classified,1,2025-04-21,5,100,105
Politics,Classified,2,2025-04-21,3,80,83
Politics,Classified,3,2025-04-21,3,67,70
Politics,Classified,4,2025-04-21,3,48,51
Politics,Classified,5,2025-04-21,1,37,38
Politics,Classified,1,2025-04-28,6,404,410
Politics,Classified,2,2025-04-28,4,328,332
Politics,Classified,3,2025-04-28,3,258,261
Politics,Classified,4,2025-04-28,3,197,200
Politics,Classified,5,2025-04-28,2,140,142
Politics,Classified,1,2025-05-05,3,128,131
Politics,Classified,2,2025-05-05,3,95,98
Politics,Classified,3,2025-05-05,2,70,72
Politics,Classified,4,2025-05-05,2,54,56
Politics,Classified,5,2025-05-05,2,35,37
Politics,Classified,1,2025-05-12,3,139,142
Politics,Classified,2,2025-05-12,1,109,110
Politics,Classified,3,2025-05-12,1,95,96
Politics,Classified,4,2025-05-12,1,68,69
Politics,Classified,5,2025-05-12,1,45,46
Politics,Classified,1,2025-05-19,4,92,96
Politics,Classified,2,2025-05-19,3,77,80
Politics,Classified,3,2025-05-19,3,61,64
Politics,Classified,4,2025-05-19,2,41,43
Politics,Classified,5,2025-05-19,1,33,34
Politics,Classified,1,2025-05-26,8,98,106
Politics,Classified,2,2025-05-26,7,78,85
Politics,Classified,3,2025-05-26,4,62,66
Politics,Classified,4,2025-05-26,3,50,53
Politics,Classified,5,2025-05-26,1,37,38
Politics,Classified,1,2025-06-02,0,130,130
Politics,Classified,2,2025-06-02,0,107,107
Politics,Classified,3,2025-06-02,0,90,90
Politics,Classified,4,2025-06-02,0,76,76
Politics,Classified,5,2025-06-02,0,61,61
Politics,Classified,1,2025-06-09,4,73,77
Politics,Classified,2,2025-06-09,0,52,52
Politics,Classified,3,2025-06-09,0,28,28
Politics,Classified,4,2025-06-09,0,24,24
Politics,Classified,5,2025-06-09,0,18,18
Politics,Classified,1,2025-06-16,2,196,198
Politics,Classified,2,2025-06-16,1,147,148
Politics,Classified,3,2025-06-16,0,121,121
Politics,Classified,4,2025-06-16,0,85,85
Politics,Classified,5,2025-06-16,0,76,76
Politics,Classified,1,2025-06-23,4,328,332
Politics,Classified,2,2025-06-23,2,231,233
Politics,Classified,3,2025-06-23,1,170,171
Politics,Classified,4,2025-06-23,1,117,118
Politics,Classified,5,2025-06-23,1,75,76
Politics,Classified,1,2025-06-30,7,210,217
Politics,Classified,2,2025-06-30,2,163,165
Politics,Classified,3,2025-06-30,2,137,139
Politics,Classified,4,2025-06-30,2,92,94
Politics,Classified,5,2025-06-30,2,63,65
Politics,Classified,1,2025-07-07,11,175,186
Politics,Classified,2,2025-07-07,7,139,146
Politics,Classified,3,2025-07-07,4,100,104
Politics,Classified,4,2025-07-07,4,62,66
Politics,Classified,5,2025-07-07,1,46,47
Politics,Classified,1,2025-07-14,21,899,920
Politics,Classified,2,2025-07-14,14,685,699
Politics,Classified,3,2025-07-14,13,517,530
Politics,Classified,4,2025-07-14,11,390,401
Politics,Classified,5,2025-07-14,9,273,282
Politics,Classified,1,2025-07-21,164,3713,3877
Politics,Classified,2,2025-07-21,111,2854,2965
Politics,Classified,3,2025-07-21,75,2174,2249
Politics,Classified,4,2025-07-21,56,1543,1599
Politics,Classified,5,2025-07-21,44,1126,1170
Politics,Classified,1,2025-07-28,288,6185,6473
Politics,Classified,2,2025-07-28,190,4817,5007
Politics,Classified,3,2025-07-28,141,3596,3737
Politics,Classified,4,2025-07-28,80,2420,2500
Politics,Classified,5,2025-07-28,64,1753,1817
Politics,Classified,1,2025-08-04,78,1535,1613
Politics,Classified,2,2025-08-04,49,1222,1271
Politics,Classified,3,2025-08-04,37,905,942
Politics,Classified,4,2025-08-04,23,607,630
Politics,Classified,5,2025-08-04,18,437,455
Politics,Classified,1,2025-08-11,43,1177,1220
Politics,Classified,2,2025-08-11,28,936,964
Politics,Classified,3,2025-08-11,20,715,735
Politics,Classified,4,2025-08-11,8,493,501
Politics,Classified,5,2025-08-11,7,364,371
Politics,Classified,1,2025-08-18,54,1486,1540
Politics,Classified,2,2025-08-18,41,1156,1197
Politics,Classified,3,2025-08-18,31,868,899
Politics,Classified,4,2025-08-18,18,597,615
Politics,Classified,5,2025-08-18,10,463,473
Politics,Classified,1,2025-08-25,18,720,738
Politics,Classified,2,2025-08-25,14,565,579
Politics,Classified,3,2025-08-25,10,438,448
Politics,Classified,4,2025-08-25,3,328,331
Politics,Classified,5,2025-08-25,2,242,244
Politics,Classified,1,2025-09-01,21,520,541
Politics,Classified,2,2025-09-01,13,422,435
Politics,Classified,3,2025-09-01,10,306,316
Politics,Classified,4,2025-09-01,6,210,216
Politics,Classified,5,2025-09-01,4,158,162
Politics,Classified,1,2025-09-08,13,388,401
Politics,Classified,2,2025-09-08,9,314,323
Politics,Classified,3,2025-09-08,8,235,243
Politics,Classified,4,2025-09-08,5,170,175
Politics,Classified,5,2025-09-08,5,132,137
Politics,Classified,1,2025-09-15,2,319,321
Politics,Classified,2,2025-09-15,2,250,252
Politics,Classified,3,2025-09-15,1,193,194
Politics,Classified,4,2025-09-15,1,132,133
Politics,Classified,5,2025-09-15,1,101,102
Politics,Classified,1,2025-09-22,8,868,876
Politics,Classified,2,2025-09-22,5,670,675
Politics,Classified,3,2025-09-22,4,524,528
Politics,Classified,4,2025-09-22,1,368,369
Politics,Classified,5,2025-09-22,1,260,261
Politics,Classified,1,2025-09-29,22,932,954
Politics,Classified,2,2025-09-29,13,676,689
Politics,Classified,3,2025-09-29,9,496,505
Politics,Classified,4,2025-09-29,7,344,351
Politics,Classified,5,2025-09-29,6,240,246
Politics,Classified,1,2025-10-06,20,661,681
Politics,Classified,2,2025-10-06,17,503,520
Politics,Classified,3,2025-10-06,10,356,366
Politics,Classified,4,2025-10-06,7,269,276
Politics,Classified,5,2025-10-06,6,198,204
Politics,Classified,1,2025-10-13,13,430,443
Politics,Classified,2,2025-10-13,10,332,342
Politics,Classified,3,2025-10-13,6,212,218
Politics,Classified,4,2025-10-13,5,156,161
Politics,Classified,5,2025-10-13,3,103,106
Politics,Classified,1,2025-10-20,9,352,361
Politics,Classified,2,2025-10-20,5,270,275
Politics,Classified,3,2025-10-20,3,194,197
Politics,Classified,4,2025-10-20,3,145,148
Politics,Classified,5,2025-10-20,2,104,106
